,Age (decade),Education Years,Income,Gender,Income Binary
2381,10.0,7, <=50K, Male,0
6881,50.0,10, <=50K, Male,0
5380,40.0,>12, >50K, Female,1
343,30.0,9, <=50K, Male,0
8383,30.0,12, <=50K, Female,0
5541,30.0,9, <=50K, Male,0
31207,40.0,>12, >50K, Male,1
8282,40.0,6, <=50K, Female,0
11686,20.0,>12, <=50K, Male,0
25619,30.0,9, <=50K, Female,0
31221,40.0,11, <=50K, Male,0
8327,40.0,>12, >50K, Male,1
3996,50.0,9, <=50K, Female,1
26901,40.0,10, <=50K, Female,0
7634,60.0,>12, <=50K, Female,1
8475,40.0,9, <=50K, Female,0
19089,40.0,11, <=50K, Female,0
25153,10.0,9, <=50K, Female,0
13803,60.0,9, >50K, Male,1
28312,30.0,10, >50K, Male,1
16618,20.0,10, <=50K, Female,0
25776,20.0,9, <=50K, Male,0
16247,30.0,11, <=50K, Male,0
21256,20.0,11, <=50K, Male,0
17178,20.0,>12, <=50K, Male,0
32239,30.0,9, <=50K, Female,0
18319,30.0,8, <=50K, Male,0
6592,60.0,9, <=50K, Female,0
13634,40.0,9, <=50K, Male,0
21086,40.0,10, >50K, Male,1
19073,40.0,<6, <=50K, Male,0
28015,50.0,<6, <=50K, Male,0
15936,20.0,10, <=50K, Female,0
9137,60.0,7, <=50K, Male,0
20486,40.0,9, >50K, Male,1
21531,30.0,11, <=50K, Female,0
3398,30.0,>12, >50K, Male,1
30005,20.0,9, <=50K, Male,0
13474,50.0,9, <=50K, Female,0
12890,30.0,10, <=50K, Male,0
24123,20.0,9, >50K, Male,1
24062,20.0,10, >50K, Female,1
4300,20.0,10, <=50K, Female,0
6516,40.0,10, <=50K, Female,0
32434,30.0,9, <=50K, Female,0
20389,50.0,11, <=50K, Male,0
25580,40.0,9, <=50K, Female,0
19720,40.0,9, <=50K, Female,0
31448,20.0,>12, >50K, Male,1
10727,50.0,>12, >50K, Male,1
22986,30.0,10, <=50K, Female,0
13663,20.0,10, <=50K, Female,0
876,20.0,9, <=50K, Female,0
265,30.0,10, >50K, Male,1
5742,40.0,9, <=50K, Female,0
28069,30.0,9, >50K, Male,1
18639,50.0,8, <=50K, Male,0
17150,20.0,>12, <=50K, Female,0
747,30.0,10, <=50K, Female,0
9204,30.0,>12, >50K, Male,1
31205,50.0,<6, <=50K, Male,0
20876,40.0,>12, >50K, Male,1
3779,60.0,9, >50K, Male,1
1592,20.0,10, <=50K, Male,0
23226,50.0,>12, <=50K, Female,0
29746,50.0,<6, <=50K, Female,0
18282,30.0,9, <=50K, Female,0
6736,20.0,10, <=50K, Male,0
5151,60.0,10, <=50K, Female,1
23794,20.0,10, <=50K, Female,0
17510,30.0,>12, >50K, Male,1
6347,20.0,>12, <=50K, Female,0
5008,40.0,>12, <=50K, Male,0
10483,50.0,9, >50K, Male,1
7512,20.0,9, <=50K, Male,0
27214,30.0,>12, >50K, Male,1
6342,>=70,11, <=50K, Male,0
17408,30.0,>12, <=50K, Female,1
24958,20.0,10, <=50K, Male,0
24001,20.0,9, <=50K, Male,0
22502,10.0,7, <=50K, Female,0
2339,30.0,>12, >50K, Male,1
15946,30.0,9, <=50K, Female,0
27541,30.0,9, <=50K, Male,0
1931,50.0,7, <=50K, Female,0
6266,30.0,9, <=50K, Male,0
28166,30.0,9, <=50K, Male,0
7285,50.0,>12, >50K, Male,1
30492,30.0,10, <=50K, Female,0
22184,30.0,10, <=50K, Male,0
20907,40.0,10, <=50K, Male,0
3410,40.0,>12, >50K, Male,1
18593,20.0,8, <=50K, Female,0
21988,>=70,9, <=50K, Female,0
30761,60.0,10, <=50K, Male,0
12841,50.0,12, <=50K, Male,0
20084,20.0,9, <=50K, Male,0
1877,40.0,>12, <=50K, Male,0
17276,20.0,7, <=50K, Male,0
70,10.0,10, <=50K, Male,0
20763,20.0,>12, <=50K, Male,0
23072,30.0,<6, <=50K, Male,0
14385,40.0,9, <=50K, Male,0
19394,50.0,8, <=50K, Male,0
3021,50.0,>12, >50K, Male,1
2122,20.0,9, <=50K, Male,0
12566,40.0,10, >50K, Male,1
9230,30.0,6, <=50K, Female,0
31893,40.0,>12, <=50K, Female,0
20428,20.0,10, <=50K, Male,0
21061,30.0,10, <=50K, Female,0
31389,30.0,9, <=50K, Male,0
9792,30.0,>12, <=50K, Male,0
27288,20.0,>12, <=50K, Male,0
4378,40.0,<6, >50K, Female,1
4701,30.0,6, <=50K, Male,0
30200,30.0,9, <=50K, Female,0
27832,40.0,>12, >50K, Male,0
7012,20.0,>12, >50K, Male,0
8762,30.0,9, <=50K, Female,0
18423,40.0,9, <=50K, Male,0
3318,20.0,10, <=50K, Male,0
28011,20.0,9, <=50K, Male,0
5228,20.0,9, <=50K, Female,0
503,50.0,10, <=50K, Female,1
11105,20.0,6, <=50K, Male,0
29691,30.0,>12, <=50K, Male,0
4207,60.0,>12, <=50K, Female,1
23103,40.0,>12, >50K, Female,1
21611,20.0,11, <=50K, Female,0
10510,30.0,10, >50K, Female,1
1411,40.0,9, <=50K, Male,0
17808,10.0,10, <=50K, Female,0
8324,20.0,9, <=50K, Male,0
8320,50.0,9, <=50K, Female,0
19825,60.0,>12, <=50K, Female,1
19102,20.0,9, <=50K, Male,0
19844,40.0,10, <=50K, Female,1
7604,>=70,10, <=50K, Female,1
19365,40.0,9, <=50K, Female,0
15315,60.0,>12, >50K, Male,0
30833,20.0,12, >50K, Female,1
23107,40.0,9, <=50K, Female,0
28501,50.0,<6, <=50K, Female,0
26632,30.0,>12, >50K, Female,1
15422,40.0,9, <=50K, Male,0
20881,40.0,9, <=50K, Male,0
21081,30.0,9, <=50K, Male,0
32420,20.0,>12, <=50K, Female,1
17754,50.0,>12, <=50K, Male,0
28127,20.0,12, <=50K, Male,0
28394,20.0,10, <=50K, Female,0
19564,40.0,9, <=50K, Female,0
2469,30.0,9, >50K, Female,1
17524,20.0,>12, <=50K, Male,0
9462,20.0,10, <=50K, Male,0
12745,30.0,10, >50K, Male,1
22447,40.0,10, >50K, Male,0
15171,50.0,6, <=50K, Female,0
18270,20.0,10, >50K, Female,1
7358,20.0,>12, <=50K, Female,0
1115,>=70,12, >50K, Male,0
15318,30.0,>12, >50K, Male,1
25708,40.0,9, >50K, Male,1
27490,30.0,>12, >50K, Male,1
31078,10.0,10, <=50K, Male,0
11397,40.0,9, <=50K, Male,0
13760,20.0,9, <=50K, Female,1
1978,40.0,7, >50K, Male,1
26789,30.0,9, <=50K, Male,0
12478,40.0,9, <=50K, Male,0
30445,20.0,9, <=50K, Male,0
14685,30.0,>12, <=50K, Female,0
25464,20.0,10, <=50K, Male,0
13763,50.0,9, <=50K, Male,0
24868,40.0,>12, <=50K, Male,0
28418,30.0,9, <=50K, Male,0
26203,50.0,7, <=50K, Male,0
21651,30.0,9, <=50K, Male,0
10177,60.0,>12, >50K, Male,1
21821,30.0,10, <=50K, Male,0
12381,40.0,>12, >50K, Male,1
31215,40.0,10, <=50K, Female,0
5961,20.0,9, <=50K, Female,0
19023,50.0,10, >50K, Male,1
20575,30.0,10, <=50K, Male,0
26709,20.0,10, <=50K, Female,0
6713,30.0,>12, >50K, Male,0
28977,20.0,>12, >50K, Female,1
6119,50.0,9, <=50K, Male,0
22700,30.0,>12, <=50K, Male,0
17874,20.0,10, <=50K, Male,0
6486,50.0,>12, <=50K, Male,0
9325,40.0,>12, <=50K, Male,0
2555,20.0,10, <=50K, Male,0
26127,10.0,10, <=50K, Male,0
23299,20.0,12, <=50K, Female,0
20108,40.0,10, <=50K, Male,0
17347,50.0,9, <=50K, Female,0
25920,20.0,11, <=50K, Male,0
3082,>=70,11, <=50K, Male,0
9128,10.0,9, <=50K, Female,0
4277,20.0,10, <=50K, Male,0
612,20.0,9, <=50K, Male,0
15846,60.0,<6, <=50K, Male,0
9784,20.0,10, <=50K, Female,0
12162,30.0,9, >50K, Female,1
13293,30.0,>12, <=50K, Female,0
21570,30.0,9, <=50K, Male,0
21904,40.0,9, <=50K, Male,0
365,20.0,9, <=50K, Male,0
2991,60.0,10, <=50K, Male,0
801,20.0,9, <=50K, Male,0
8540,30.0,9, >50K, Male,1
3939,30.0,9, <=50K, Male,0
15473,20.0,7, <=50K, Male,0
147,30.0,9, <=50K, Female,0
4901,40.0,>12, <=50K, Male,0
28060,20.0,9, <=50K, Male,0
8174,60.0,>12, >50K, Male,1
3619,30.0,9, <=50K, Male,0
15996,50.0,9, <=50K, Male,0
17793,30.0,9, <=50K, Male,0
11934,30.0,9, <=50K, Male,0
19150,40.0,9, <=50K, Male,0
23501,20.0,12, >50K, Male,1
107,30.0,7, <=50K, Male,0
9543,20.0,9, <=50K, Male,0
10478,40.0,10, <=50K, Male,0
7969,20.0,9, <=50K, Female,0
4472,40.0,9, <=50K, Female,0
2886,30.0,9, >50K, Male,1
22270,10.0,9, <=50K, Female,0
26821,20.0,9, <=50K, Male,0
15395,30.0,9, <=50K, Male,0
8350,20.0,10, <=50K, Male,0
24724,30.0,10, <=50K, Female,0
13571,30.0,9, <=50K, Male,0
28095,20.0,10, <=50K, Female,0
16260,30.0,>12, <=50K, Male,0
26520,30.0,10, <=50K, Male,0
12715,30.0,>12, >50K, Male,1
12293,40.0,9, <=50K, Male,0
2336,40.0,7, <=50K, Male,0
14897,40.0,10, >50K, Male,0
23370,20.0,>12, >50K, Male,0
15461,50.0,>12, <=50K, Female,0
32032,40.0,>12, <=50K, Female,1
29236,50.0,10, >50K, Male,1
14259,30.0,>12, >50K, Male,1
4939,20.0,9, <=50K, Female,0
23080,40.0,12, >50K, Male,1
25592,20.0,>12, <=50K, Male,0
15816,30.0,12, <=50K, Male,0
21445,40.0,9, <=50K, Male,0
5821,50.0,>12, >50K, Male,1
9886,30.0,7, <=50K, Male,0
10500,30.0,>12, <=50K, Male,0
20539,20.0,9, <=50K, Male,0
21640,20.0,10, <=50K, Male,0
10504,20.0,>12, <=50K, Female,0
9146,30.0,>12, >50K, Male,1
10262,40.0,10, <=50K, Female,1
32008,50.0,<6, <=50K, Male,0
12117,20.0,12, <=50K, Female,0
3797,60.0,>12, <=50K, Male,0
8323,40.0,10, <=50K, Male,0
7021,40.0,>12, >50K, Male,1
17747,30.0,>12, >50K, Male,1
24718,50.0,9, <=50K, Female,0
17500,50.0,>12, >50K, Male,1
11897,40.0,10, >50K, Male,1
15875,50.0,9, >50K, Male,1
16607,40.0,>12, >50K, Male,1
13613,40.0,>12, <=50K, Male,0
30160,30.0,9, <=50K, Male,0
31764,60.0,>12, >50K, Male,1
12193,60.0,9, <=50K, Male,0
772,30.0,9, <=50K, Male,0
19285,30.0,10, <=50K, Female,0
8276,20.0,9, <=50K, Male,0
10556,>=70,11, <=50K, Female,1
18764,50.0,>12, <=50K, Female,1
192,40.0,>12, <=50K, Male,0
685,30.0,9, <=50K, Female,0
27993,50.0,7, <=50K, Female,0
16174,40.0,>12, >50K, Male,1
8776,50.0,9, <=50K, Male,0
22786,20.0,9, <=50K, Male,0
31085,40.0,7, <=50K, Male,0
31049,20.0,10, <=50K, Male,0
18558,30.0,10, <=50K, Male,0
25936,40.0,9, <=50K, Male,0
28925,60.0,9, >50K, Male,1
27081,60.0,>12, <=50K, Male,0
26048,30.0,10, <=50K, Female,0
28354,60.0,>12, >50K, Male,1
15832,60.0,>12, >50K, Male,1
16581,20.0,9, <=50K, Male,0
20969,30.0,>12, <=50K, Male,0
11359,40.0,>12, >50K, Male,1
18740,40.0,9, <=50K, Male,0
9112,20.0,10, <=50K, Male,0
3458,30.0,>12, <=50K, Male,0
7033,60.0,10, >50K, Male,1
5039,40.0,10, <=50K, Male,0
4904,10.0,7, <=50K, Male,0
19593,30.0,9, <=50K, Male,0
27989,30.0,11, <=50K, Female,0
14354,20.0,9, <=50K, Female,0
25926,40.0,>12, >50K, Male,1
6614,30.0,>12, >50K, Male,1
2562,40.0,9, <=50K, Male,0
13322,10.0,6, <=50K, Male,0
21125,20.0,10, <=50K, Male,0
25237,30.0,>12, <=50K, Female,1
16363,40.0,>12, <=50K, Male,0
26955,30.0,11, <=50K, Male,0
7106,30.0,9, <=50K, Female,0
10680,30.0,9, <=50K, Male,0
21102,30.0,10, <=50K, Male,0
16840,10.0,9, <=50K, Female,0
22605,40.0,10, <=50K, Male,0
17915,30.0,9, <=50K, Female,0
16738,10.0,10, <=50K, Female,0
4090,10.0,7, <=50K, Female,0
32478,20.0,12, <=50K, Male,0
32529,20.0,9, <=50K, Female,0
13636,>=70,7, <=50K, Male,0
725,30.0,>12, >50K, Male,0
12425,40.0,6, <=50K, Male,0
3941,20.0,<6, <=50K, Male,0
20015,50.0,<6, <=50K, Male,0
6582,30.0,10, <=50K, Male,0
21034,40.0,10, <=50K, Male,0
15113,30.0,6, <=50K, Female,0
21484,10.0,10, <=50K, Female,0
28474,60.0,9, <=50K, Female,0
12101,20.0,6, <=50K, Male,0
19584,60.0,<6, <=50K, Male,0
23722,50.0,<6, <=50K, Male,0
16675,40.0,9, <=50K, Male,0
20038,40.0,9, <=50K, Male,0
13873,50.0,9, <=50K, Female,0
8580,20.0,11, <=50K, Female,0
5125,20.0,9, <=50K, Male,0
350,30.0,>12, >50K, Male,1
31614,40.0,>12, <=50K, Male,0
10598,30.0,9, <=50K, Female,0
26217,40.0,10, >50K, Male,1
25182,20.0,9, <=50K, Male,0
27795,>=70,<6, <=50K, Male,0
10171,30.0,>12, >50K, Male,1
2724,40.0,>12, >50K, Female,1
16990,30.0,11, <=50K, Male,0
4238,60.0,9, >50K, Male,1
26111,20.0,9, <=50K, Male,0
16542,30.0,>12, <=50K, Male,0
8989,40.0,>12, >50K, Male,1
12895,40.0,>12, >50K, Male,1
16142,50.0,<6, <=50K, Male,0
11879,40.0,6, <=50K, Male,0
29399,20.0,10, <=50K, Male,0
27324,30.0,11, >50K, Male,1
25409,10.0,9, <=50K, Male,0
24279,50.0,>12, >50K, Male,1
21122,20.0,10, <=50K, Female,0
9425,50.0,>12, >50K, Male,1
5661,10.0,6, <=50K, Male,0
19454,30.0,>12, >50K, Male,1
15062,40.0,11, <=50K, Male,0
15142,30.0,9, <=50K, Male,0
3034,30.0,9, <=50K, Male,0
12266,30.0,>12, >50K, Female,1
6509,50.0,7, <=50K, Male,0
38,30.0,10, >50K, Male,1
27204,40.0,9, <=50K, Female,0
3646,30.0,9, <=50K, Female,0
25192,20.0,>12, <=50K, Female,0
26967,40.0,>12, >50K, Male,1
24919,30.0,10, >50K, Female,1
9377,50.0,10, <=50K, Female,0
3631,60.0,9, <=50K, Male,0
7568,20.0,>12, <=50K, Female,0
13750,40.0,>12, >50K, Male,1
14673,50.0,>12, <=50K, Female,1
27050,20.0,>12, <=50K, Male,0
15597,30.0,12, <=50K, Female,0
756,50.0,9, >50K, Male,1
26525,10.0,7, <=50K, Female,0
25835,10.0,6, <=50K, Male,0
9108,50.0,>12, >50K, Male,1
20834,40.0,9, >50K, Male,1
6306,30.0,9, <=50K, Male,0
3285,10.0,9, <=50K, Male,0
4624,20.0,9, <=50K, Female,0
9960,10.0,10, <=50K, Male,0
5051,50.0,9, >50K, Male,1
28292,50.0,>12, <=50K, Male,0
15672,60.0,9, <=50K, Male,0
3171,40.0,>12, <=50K, Male,0
11726,40.0,>12, >50K, Male,1
12501,20.0,12, <=50K, Female,0
23065,30.0,>12, <=50K, Female,0
32417,20.0,10, <=50K, Female,0
13762,50.0,>12, >50K, Male,1
7626,50.0,<6, <=50K, Male,0
27390,40.0,>12, >50K, Male,1
4223,30.0,7, <=50K, Male,0
2975,20.0,10, <=50K, Female,0
20168,60.0,>12, <=50K, Male,0
5846,30.0,9, <=50K, Female,0
19574,50.0,>12, >50K, Male,1
7322,20.0,10, <=50K, Female,0
16571,50.0,7, <=50K, Male,0
1586,50.0,10, <=50K, Male,0
14031,50.0,9, <=50K, Male,0
5726,20.0,9, <=50K, Male,0
18884,20.0,>12, <=50K, Male,0
1961,50.0,>12, >50K, Male,1
31789,20.0,9, <=50K, Female,1
27167,10.0,6, <=50K, Male,0
31746,30.0,8, <=50K, Male,0
31671,40.0,11, >50K, Female,1
28665,20.0,>12, <=50K, Male,0
22186,30.0,9, <=50K, Male,0
10896,30.0,>12, >50K, Male,1
21728,20.0,>12, <=50K, Male,0
14388,20.0,9, <=50K, Female,0
7180,20.0,>12, <=50K, Male,0
17633,60.0,<6, <=50K, Male,0
14113,30.0,>12, <=50K, Female,0
4542,20.0,11, <=50K, Male,0
21471,40.0,9, <=50K, Male,0
1120,20.0,10, <=50K, Male,0
30682,20.0,9, <=50K, Male,0
18503,40.0,7, <=50K, Female,0
27281,30.0,9, <=50K, Male,0
14549,50.0,6, <=50K, Male,0
243,20.0,10, <=50K, Male,0
31380,40.0,>12, >50K, Male,1
20294,10.0,9, <=50K, Male,0
25759,20.0,10, <=50K, Male,0
13502,30.0,11, >50K, Male,1
2241,50.0,<6, <=50K, Male,0
25818,40.0,9, <=50K, Female,1
29901,40.0,9, >50K, Male,1
30677,10.0,10, <=50K, Male,0
25498,50.0,9, <=50K, Male,0
21083,30.0,9, <=50K, Male,0
3044,20.0,9, <=50K, Male,0
8806,>=70,>12, >50K, Male,1
26587,60.0,7, <=50K, Female,1
23394,10.0,6, <=50K, Female,0
26162,20.0,10, <=50K, Female,0
21396,30.0,9, <=50K, Male,0
23523,30.0,>12, >50K, Male,1
18219,30.0,>12, >50K, Male,1
9182,40.0,10, >50K, Male,1
6188,30.0,9, <=50K, Female,0
13718,20.0,10, <=50K, Male,0
32161,30.0,9, >50K, Male,1
9994,30.0,11, <=50K, Male,0
25430,20.0,12, <=50K, Female,1
8689,30.0,10, <=50K, Male,0
2843,40.0,10, >50K, Male,1
30842,30.0,9, <=50K, Female,0
28457,60.0,>12, >50K, Female,1
24399,20.0,>12, <=50K, Female,0
7274,40.0,9, <=50K, Male,0
16556,60.0,9, <=50K, Male,0
28628,40.0,>12, >50K, Male,0
14909,40.0,<6, <=50K, Male,0
24052,60.0,9, <=50K, Male,0
678,30.0,9, <=50K, Male,0
31022,50.0,9, <=50K, Female,0
22870,40.0,8, >50K, Male,1
29453,10.0,<6, <=50K, Male,0
30831,30.0,>12, >50K, Female,1
18446,20.0,12, <=50K, Female,0
15566,20.0,10, <=50K, Male,0
706,40.0,9, <=50K, Male,0
8201,20.0,10, <=50K, Male,0
29553,40.0,>12, >50K, Male,1
21377,50.0,10, <=50K, Female,0
6028,20.0,10, <=50K, Female,0
20543,30.0,>12, >50K, Male,1
26865,50.0,12, >50K, Male,1
27155,30.0,9, <=50K, Male,0
14002,20.0,9, <=50K, Female,0
8426,30.0,9, <=50K, Male,0
24671,20.0,>12, <=50K, Male,0
22613,30.0,>12, >50K, Male,1
21148,50.0,<6, <=50K, Male,0
2826,30.0,9, <=50K, Male,0
31577,60.0,8, <=50K, Female,1
21731,40.0,>12, <=50K, Female,0
26315,30.0,9, <=50K, Male,0
6982,40.0,>12, <=50K, Male,0
11909,30.0,10, >50K, Female,1
24222,50.0,9, <=50K, Female,0
7140,40.0,9, >50K, Male,1
29942,60.0,>12, <=50K, Male,0
19621,30.0,11, <=50K, Male,0
30792,40.0,12, >50K, Male,0
18066,50.0,10, >50K, Male,0
14556,30.0,<6, <=50K, Male,0
21483,20.0,9, <=50K, Female,0
31089,20.0,>12, <=50K, Male,0
30052,50.0,9, >50K, Female,1
31200,30.0,10, >50K, Male,1
26860,50.0,9, >50K, Male,1
30214,50.0,10, <=50K, Female,0
17451,60.0,10, <=50K, Male,0
14251,60.0,<6, <=50K, Male,0
25164,20.0,10, <=50K, Male,0
18555,30.0,9, <=50K, Male,0
17186,30.0,10, >50K, Female,1
12053,30.0,10, <=50K, Male,0
23665,60.0,10, <=50K, Male,0
4352,20.0,9, <=50K, Male,0
3921,20.0,7, <=50K, Male,0
13975,40.0,>12, >50K, Male,1
10583,40.0,>12, >50K, Male,1
14176,20.0,9, <=50K, Male,0
8793,50.0,9, <=50K, Male,0
28924,40.0,>12, >50K, Male,1
22661,30.0,12, <=50K, Male,0
26663,20.0,10, <=50K, Female,0
15985,20.0,10, >50K, Male,0
2873,40.0,>12, <=50K, Female,0
21724,40.0,9, >50K, Female,1
32374,20.0,11, <=50K, Female,0
21650,30.0,9, <=50K, Male,0
29967,10.0,<6, <=50K, Male,0
30353,40.0,12, <=50K, Male,0
2379,40.0,10, <=50K, Male,0
25226,40.0,9, >50K, Female,1
24450,30.0,>12, >50K, Male,1
29620,30.0,10, <=50K, Male,0
4808,40.0,>12, >50K, Male,0
18968,20.0,7, <=50K, Male,0
24101,30.0,>12, >50K, Male,0
8909,40.0,>12, >50K, Male,1
8883,40.0,>12, >50K, Male,1
29878,20.0,>12, >50K, Male,0
27637,30.0,>12, >50K, Male,1
28068,10.0,<6, <=50K, Male,0
12301,40.0,>12, >50K, Male,1
22701,50.0,>12, <=50K, Female,1
3446,30.0,<6, <=50K, Male,0
29317,30.0,9, <=50K, Male,0
32511,20.0,>12, <=50K, Female,0
15236,20.0,9, <=50K, Male,0
22594,30.0,12, <=50K, Male,0
14019,40.0,9, <=50K, Male,0
28395,30.0,<6, <=50K, Male,0
29779,40.0,11, <=50K, Male,0
20592,50.0,9, >50K, Male,1
5072,60.0,6, >50K, Male,1
13858,30.0,>12, >50K, Male,1
30198,20.0,12, <=50K, Female,0
29389,30.0,9, <=50K, Female,0
4720,>=70,9, <=50K, Female,0
24178,30.0,>12, <=50K, Male,0
3890,20.0,10, <=50K, Male,0
4096,50.0,9, >50K, Male,1
20649,20.0,11, >50K, Male,1
29634,60.0,9, <=50K, Female,0
1709,40.0,>12, >50K, Male,1
11479,30.0,9, <=50K, Male,0
114,30.0,9, <=50K, Female,0
21837,50.0,>12, <=50K, Female,1
30980,50.0,12, >50K, Male,1
28083,20.0,>12, <=50K, Male,0
20927,20.0,>12, <=50K, Male,0
6140,30.0,11, <=50K, Female,0
23155,40.0,12, <=50K, Male,0
24672,20.0,9, <=50K, Male,0
6003,30.0,9, <=50K, Male,0
5311,30.0,>12, >50K, Male,1
7670,30.0,9, <=50K, Female,1
14439,20.0,7, <=50K, Male,0
21194,20.0,9, <=50K, Male,0
13999,30.0,7, <=50K, Male,0
1175,50.0,10, >50K, Male,1
1628,40.0,9, <=50K, Female,0
11139,30.0,9, <=50K, Male,0
8127,20.0,>12, <=50K, Female,0
11782,40.0,>12, >50K, Male,1
17003,50.0,>12, >50K, Female,1
14600,30.0,9, <=50K, Female,0
19078,60.0,>12, >50K, Female,1
39,40.0,12, <=50K, Male,0
15522,20.0,9, <=50K, Male,0
11009,30.0,9, <=50K, Male,0
28009,60.0,6, <=50K, Female,1
9058,20.0,10, <=50K, Female,0
23019,>=70,>12, <=50K, Male,0
23439,40.0,>12, >50K, Male,1
25934,40.0,8, <=50K, Female,1
47,40.0,>12, <=50K, Female,1
8716,20.0,9, <=50K, Female,0
14801,50.0,9, <=50K, Male,0
6511,30.0,9, <=50K, Female,1
28985,40.0,10, <=50K, Male,0
19931,30.0,11, >50K, Male,0
23661,>=70,12, >50K, Male,1
976,20.0,10, <=50K, Female,0
19399,30.0,10, <=50K, Male,0
15583,30.0,12, <=50K, Female,0
24163,40.0,>12, <=50K, Male,0
14528,60.0,7, <=50K, Female,0
29024,20.0,9, <=50K, Female,0
5873,30.0,10, <=50K, Male,0
2384,10.0,10, <=50K, Female,0
8269,60.0,>12, <=50K, Female,1
11137,50.0,9, <=50K, Female,0
9487,60.0,>12, <=50K, Male,0
24198,30.0,9, <=50K, Female,0
17462,60.0,9, <=50K, Male,0
2852,40.0,9, <=50K, Female,1
8261,40.0,9, <=50K, Female,0
1543,50.0,10, <=50K, Male,0
32537,30.0,9, <=50K, Male,0
