,Age (decade),Education Years,Income,Gender,Income Binary
3541,30.0,11, <=50K, Male,0
15683,40.0,10, <=50K, Female,0
15892,>=70,>12, >50K, Female,1
9102,60.0,10, <=50K, Female,0
2122,20.0,9, <=50K, Male,0
31150,50.0,>12, <=50K, Female,0
20595,50.0,9, <=50K, Female,0
29744,60.0,>12, >50K, Male,1
6319,30.0,9, <=50K, Male,0
30081,30.0,11, <=50K, Male,0
7470,40.0,11, <=50K, Male,0
8792,50.0,9, >50K, Male,1
16942,50.0,<6, <=50K, Male,0
19118,40.0,9, <=50K, Male,0
27603,30.0,9, >50K, Male,1
8780,30.0,>12, <=50K, Female,0
2851,20.0,10, <=50K, Female,0
184,30.0,10, >50K, Male,1
16619,30.0,>12, >50K, Male,1
22499,40.0,>12, <=50K, Male,0
23004,40.0,>12, <=50K, Male,0
19378,40.0,>12, >50K, Female,1
6358,40.0,9, <=50K, Female,0
28745,30.0,10, >50K, Male,1
10589,30.0,10, >50K, Male,1
20252,30.0,>12, >50K, Male,1
23587,40.0,10, >50K, Male,1
22232,20.0,>12, <=50K, Male,0
15756,20.0,9, <=50K, Male,0
16910,20.0,>12, >50K, Male,1
2325,30.0,>12, >50K, Male,1
11315,60.0,>12, <=50K, Male,0
29762,20.0,9, <=50K, Male,0
12556,40.0,11, >50K, Male,1
23462,20.0,>12, <=50K, Female,0
6001,40.0,6, <=50K, Female,0
4619,20.0,10, <=50K, Male,0
19802,20.0,10, <=50K, Female,0
32045,20.0,10, <=50K, Female,0
19020,20.0,9, <=50K, Male,0
3739,40.0,<6, <=50K, Male,0
13425,>=70,9, <=50K, Male,0
26155,60.0,>12, >50K, Male,1
5313,20.0,>12, <=50K, Female,0
27652,60.0,9, <=50K, Male,0
28000,30.0,9, <=50K, Female,0
29622,50.0,10, >50K, Male,1
25462,50.0,10, <=50K, Male,0
20490,50.0,>12, >50K, Female,1
12211,20.0,10, <=50K, Male,0
6939,20.0,9, <=50K, Male,0
30232,30.0,9, <=50K, Male,0
11296,20.0,7, <=50K, Male,0
29792,20.0,11, <=50K, Female,0
30331,60.0,9, <=50K, Female,0
22527,30.0,>12, >50K, Male,1
27795,>=70,<6, <=50K, Male,0
11,30.0,>12, >50K, Male,1
412,30.0,10, <=50K, Female,0
12177,40.0,9, <=50K, Female,0
15773,60.0,9, <=50K, Female,0
15293,20.0,7, <=50K, Male,0
14946,30.0,10, <=50K, Female,0
22872,30.0,7, <=50K, Male,0
9282,50.0,9, <=50K, Male,0
10697,10.0,9, <=50K, Male,0
3051,40.0,>12, <=50K, Female,0
8150,40.0,>12, >50K, Male,1
16311,30.0,>12, <=50K, Male,0
20350,20.0,10, <=50K, Female,0
28575,20.0,9, <=50K, Female,0
29917,30.0,10, <=50K, Male,0
11025,40.0,>12, >50K, Male,1
9917,40.0,>12, <=50K, Female,0
27049,30.0,>12, >50K, Male,1
30687,60.0,6, <=50K, Male,0
2617,20.0,9, <=50K, Female,0
32164,30.0,>12, >50K, Male,1
13175,20.0,9, <=50K, Female,0
4255,40.0,9, >50K, Male,1
439,40.0,10, <=50K, Female,0
28735,60.0,9, >50K, Male,1
31234,20.0,7, <=50K, Male,0
27413,50.0,>12, >50K, Male,1
24067,30.0,>12, >50K, Male,1
2737,50.0,9, <=50K, Female,0
18699,30.0,9, <=50K, Male,0
23215,50.0,<6, <=50K, Male,0
9329,50.0,>12, >50K, Male,1
10137,50.0,9, >50K, Male,1
11685,50.0,7, >50K, Male,1
20963,20.0,9, <=50K, Female,0
17968,40.0,>12, >50K, Female,1
21748,30.0,9, <=50K, Male,0
1342,40.0,10, <=50K, Male,0
31701,30.0,8, <=50K, Male,0
18905,40.0,<6, <=50K, Male,0
3566,20.0,>12, <=50K, Male,0
4063,50.0,9, <=50K, Female,0
15850,10.0,7, <=50K, Male,0
3711,40.0,10, <=50K, Male,0
26702,30.0,9, <=50K, Male,0
30827,50.0,10, <=50K, Male,0
26185,30.0,>12, <=50K, Female,0
3904,60.0,7, <=50K, Male,0
5231,50.0,>12, >50K, Male,1
32223,30.0,9, <=50K, Female,0
27038,20.0,9, <=50K, Female,0
3368,40.0,>12, >50K, Male,1
9371,20.0,9, <=50K, Male,0
12053,30.0,10, <=50K, Male,0
29395,50.0,9, <=50K, Male,0
26280,30.0,9, <=50K, Male,0
14563,30.0,12, <=50K, Male,0
5435,50.0,<6, <=50K, Female,0
5473,40.0,>12, >50K, Male,1
24705,30.0,11, <=50K, Male,0
4990,30.0,12, <=50K, Male,0
887,30.0,10, <=50K, Male,0
24073,40.0,9, <=50K, Male,0
6149,30.0,12, >50K, Male,1
8832,30.0,>12, <=50K, Female,0
10396,60.0,>12, <=50K, Female,0
6695,30.0,9, <=50K, Female,0
24748,20.0,10, <=50K, Female,0
24967,20.0,10, <=50K, Male,0
2741,40.0,9, <=50K, Male,0
19485,40.0,>12, <=50K, Female,0
27163,20.0,11, <=50K, Male,0
13591,30.0,>12, <=50K, Female,0
12366,10.0,6, <=50K, Female,0
6144,50.0,9, <=50K, Female,0
21808,20.0,10, <=50K, Male,0
11911,40.0,>12, <=50K, Female,0
12365,30.0,9, <=50K, Male,0
30695,40.0,9, >50K, Male,1
22130,60.0,>12, <=50K, Male,0
1071,30.0,9, >50K, Male,1
25504,50.0,10, <=50K, Female,0
1967,20.0,9, <=50K, Female,0
17543,30.0,7, <=50K, Male,0
9044,30.0,11, <=50K, Male,0
7726,50.0,10, <=50K, Male,0
138,20.0,10, <=50K, Male,0
29884,30.0,10, <=50K, Male,0
1873,30.0,>12, <=50K, Male,0
29550,30.0,9, <=50K, Male,0
953,10.0,9, <=50K, Female,0
10072,10.0,10, <=50K, Female,0
18364,30.0,9, >50K, Male,1
17113,60.0,9, <=50K, Female,0
16713,40.0,9, <=50K, Female,0
29371,20.0,9, <=50K, Female,0
2355,20.0,12, <=50K, Male,0
21959,40.0,9, <=50K, Female,0
6587,20.0,9, <=50K, Male,0
11158,10.0,8, <=50K, Female,0
8963,>=70,9, <=50K, Female,0
16034,30.0,9, >50K, Female,1
31953,30.0,>12, >50K, Female,1
25736,50.0,10, <=50K, Female,0
22530,20.0,9, <=50K, Male,0
23116,30.0,10, <=50K, Male,0
10359,30.0,9, <=50K, Male,0
21474,40.0,9, <=50K, Male,0
16727,30.0,10, <=50K, Male,0
21733,30.0,10, >50K, Male,1
24151,20.0,9, <=50K, Female,0
17062,20.0,>12, <=50K, Female,0
13810,40.0,>12, >50K, Female,1
17344,30.0,<6, <=50K, Male,0
2878,30.0,<6, <=50K, Male,0
17397,40.0,10, >50K, Male,1
30433,20.0,9, <=50K, Male,0
24276,20.0,10, <=50K, Male,0
9214,20.0,>12, <=50K, Male,0
24638,40.0,9, >50K, Male,1
6494,30.0,9, <=50K, Female,0
6390,40.0,7, <=50K, Male,0
6039,50.0,9, <=50K, Female,0
2209,40.0,9, <=50K, Male,0
10008,50.0,9, <=50K, Female,0
18425,60.0,9, <=50K, Female,0
7802,20.0,10, <=50K, Male,0
5334,40.0,9, <=50K, Male,0
2711,10.0,10, <=50K, Male,0
31398,30.0,>12, >50K, Male,1
7037,20.0,10, <=50K, Male,0
16985,50.0,7, <=50K, Male,0
29513,30.0,9, <=50K, Male,0
13421,50.0,10, <=50K, Female,0
19881,10.0,8, <=50K, Female,0
27666,40.0,>12, <=50K, Female,0
26751,30.0,9, <=50K, Male,0
3792,50.0,12, <=50K, Male,0
2222,20.0,10, <=50K, Female,0
7539,20.0,8, <=50K, Male,0
19598,50.0,10, <=50K, Female,0
22466,40.0,9, <=50K, Male,0
23695,40.0,6, <=50K, Male,0
12867,30.0,>12, >50K, Male,1
20586,60.0,>12, <=50K, Female,0
12094,30.0,10, <=50K, Female,0
32069,30.0,9, <=50K, Male,0
13492,20.0,>12, <=50K, Male,0
10255,>=70,9, >50K, Male,1
28778,50.0,>12, >50K, Male,1
26912,30.0,>12, <=50K, Male,0
28099,40.0,9, >50K, Female,1
16242,40.0,9, <=50K, Female,0
8555,60.0,7, <=50K, Male,0
4920,40.0,9, <=50K, Female,0
6899,20.0,7, <=50K, Male,0
21442,30.0,11, <=50K, Female,0
8335,50.0,10, <=50K, Female,0
12925,20.0,7, <=50K, Male,0
22442,20.0,9, <=50K, Male,0
28967,30.0,>12, <=50K, Male,0
27118,60.0,>12, >50K, Male,1
23176,10.0,9, <=50K, Female,0
21603,30.0,7, <=50K, Male,0
31004,20.0,9, <=50K, Male,0
23044,50.0,10, <=50K, Male,0
23451,40.0,9, <=50K, Female,0
149,40.0,10, <=50K, Female,0
26300,50.0,>12, >50K, Male,1
509,30.0,9, <=50K, Female,0
14935,20.0,<6, <=50K, Male,0
21547,40.0,11, <=50K, Male,0
21076,40.0,12, <=50K, Male,0
30109,40.0,11, <=50K, Male,0
20299,10.0,6, <=50K, Female,0
7387,30.0,9, <=50K, Female,0
3932,30.0,9, >50K, Male,1
18987,40.0,>12, >50K, Male,1
9490,10.0,10, <=50K, Female,0
8352,10.0,7, <=50K, Female,0
10866,40.0,10, >50K, Male,1
20416,50.0,<6, <=50K, Female,0
634,50.0,9, <=50K, Male,0
918,>=70,9, <=50K, Male,0
14902,30.0,12, <=50K, Female,0
16768,20.0,9, <=50K, Male,0
9516,40.0,9, >50K, Male,1
15948,50.0,>12, >50K, Female,1
30800,40.0,9, <=50K, Female,0
28644,20.0,>12, <=50K, Female,0
4963,40.0,>12, <=50K, Female,0
1292,30.0,9, <=50K, Male,0
5417,60.0,10, <=50K, Male,0
21005,50.0,9, >50K, Male,1
19339,60.0,9, <=50K, Male,0
17762,10.0,9, <=50K, Female,0
28995,40.0,9, >50K, Male,1
28574,30.0,10, <=50K, Female,0
7255,30.0,9, <=50K, Male,0
8816,30.0,9, >50K, Male,1
21870,40.0,9, <=50K, Female,0
3918,40.0,9, <=50K, Male,0
25903,20.0,10, <=50K, Male,0
16875,50.0,9, <=50K, Female,0
22164,50.0,9, >50K, Male,1
26833,60.0,11, <=50K, Female,0
27560,20.0,9, <=50K, Female,0
31813,40.0,>12, <=50K, Male,0
26560,>=70,10, >50K, Male,1
8729,50.0,9, >50K, Male,1
16580,30.0,10, <=50K, Male,0
27315,20.0,>12, <=50K, Female,0
11182,40.0,10, <=50K, Female,0
30283,30.0,9, >50K, Male,1
3652,40.0,>12, >50K, Male,1
2420,60.0,>12, >50K, Male,1
15454,30.0,10, <=50K, Female,0
7256,40.0,9, <=50K, Female,0
20993,30.0,>12, <=50K, Male,0
26164,20.0,10, <=50K, Male,0
1593,50.0,>12, >50K, Male,1
4644,30.0,10, <=50K, Male,0
30422,50.0,>12, >50K, Male,1
22470,30.0,9, >50K, Male,1
7096,40.0,>12, <=50K, Male,0
22947,30.0,7, >50K, Male,1
12501,20.0,11, <=50K, Female,0
18662,60.0,9, >50K, Male,1
29678,20.0,>12, <=50K, Male,0
24787,50.0,9, <=50K, Male,0
27861,50.0,>12, >50K, Male,1
14427,40.0,9, >50K, Male,1
7825,>=70,10, <=50K, Female,0
21518,60.0,10, <=50K, Male,0
12807,30.0,>12, <=50K, Male,0
26533,20.0,9, <=50K, Male,0
10070,20.0,9, <=50K, Female,0
6422,40.0,9, <=50K, Female,0
23913,40.0,12, >50K, Male,1
14960,30.0,>12, >50K, Male,1
32399,40.0,>12, >50K, Male,1
10721,20.0,>12, >50K, Male,1
9967,60.0,9, <=50K, Female,0
27966,30.0,10, <=50K, Male,0
21253,30.0,9, <=50K, Male,0
5227,50.0,9, >50K, Female,1
615,30.0,9, <=50K, Male,0
23355,10.0,8, <=50K, Male,0
19469,30.0,9, <=50K, Female,0
6066,40.0,10, >50K, Male,1
21306,20.0,11, <=50K, Female,0
4180,20.0,9, <=50K, Male,0
20717,20.0,>12, <=50K, Male,0
18797,40.0,>12, >50K, Male,1
9548,40.0,9, <=50K, Female,0
9569,30.0,7, <=50K, Male,0
24601,50.0,10, >50K, Male,1
25692,30.0,>12, <=50K, Female,0
18218,30.0,10, >50K, Female,1
6493,50.0,9, <=50K, Female,0
22730,30.0,9, >50K, Male,1
30385,40.0,9, <=50K, Female,0
514,20.0,9, <=50K, Male,0
18371,20.0,11, <=50K, Male,0
19154,30.0,>12, >50K, Male,1
19910,30.0,9, <=50K, Male,0
26410,30.0,<6, <=50K, Female,0
28461,20.0,9, <=50K, Male,0
24837,20.0,9, <=50K, Male,0
804,10.0,7, <=50K, Female,0
19490,60.0,>12, <=50K, Male,0
12110,40.0,>12, >50K, Male,1
3411,30.0,10, <=50K, Female,0
10406,30.0,>12, >50K, Male,1
8004,30.0,7, <=50K, Male,0
31880,50.0,12, <=50K, Male,0
404,20.0,<6, <=50K, Male,0
25650,20.0,9, <=50K, Male,0
5224,50.0,>12, >50K, Male,1
15350,10.0,6, <=50K, Female,0
3212,40.0,>12, >50K, Male,1
18260,40.0,12, <=50K, Female,0
3034,30.0,9, <=50K, Male,0
31848,50.0,11, >50K, Male,1
19832,30.0,12, <=50K, Male,0
25161,>=70,9, <=50K, Male,0
22845,50.0,>12, >50K, Male,1
8486,20.0,10, <=50K, Male,0
3071,30.0,10, >50K, Male,1
29044,40.0,9, <=50K, Male,0
22903,30.0,9, <=50K, Male,0
13674,40.0,9, >50K, Male,1
3460,30.0,9, >50K, Male,1
1697,30.0,10, <=50K, Male,0
5340,>=70,<6, <=50K, Male,0
4559,40.0,9, >50K, Male,1
6164,30.0,9, <=50K, Male,0
10278,30.0,>12, <=50K, Male,0
9884,50.0,>12, >50K, Male,1
8412,30.0,12, <=50K, Male,0
24710,30.0,10, <=50K, Female,0
16744,50.0,>12, <=50K, Female,0
11949,30.0,9, <=50K, Female,0
23461,30.0,9, <=50K, Female,0
24641,50.0,>12, >50K, Male,1
26536,30.0,9, <=50K, Female,0
23196,40.0,>12, >50K, Male,1
25595,50.0,>12, >50K, Male,1
9474,40.0,10, <=50K, Male,0
319,60.0,9, <=50K, Female,0
3880,50.0,10, >50K, Male,1
7920,40.0,<6, <=50K, Male,0
28185,30.0,>12, >50K, Male,1
18428,20.0,10, <=50K, Male,0
18844,20.0,>12, <=50K, Male,0
26308,50.0,9, <=50K, Female,0
2439,30.0,10, <=50K, Male,0
23208,20.0,9, <=50K, Male,0
1331,20.0,10, <=50K, Female,0
16965,40.0,10, >50K, Male,1
6274,30.0,9, <=50K, Male,0
19924,40.0,7, <=50K, Male,0
29323,40.0,>12, <=50K, Male,0
19960,30.0,9, <=50K, Male,0
668,20.0,7, <=50K, Female,0
2230,50.0,>12, >50K, Male,1
23753,40.0,9, <=50K, Male,0
14759,30.0,11, <=50K, Female,0
14380,20.0,>12, <=50K, Female,0
12971,10.0,7, <=50K, Female,0
840,10.0,7, <=50K, Male,0
28591,30.0,10, <=50K, Male,0
28295,40.0,9, <=50K, Female,0
15550,30.0,>12, <=50K, Male,0
21987,40.0,10, <=50K, Male,0
13056,30.0,>12, >50K, Male,1
13629,40.0,10, <=50K, Female,0
923,30.0,10, <=50K, Female,0
20292,40.0,>12, >50K, Female,1
26259,10.0,10, <=50K, Female,0
14363,20.0,11, <=50K, Female,0
24543,20.0,>12, <=50K, Female,0
6405,40.0,<6, <=50K, Female,0
21756,20.0,7, <=50K, Male,0
18317,20.0,>12, <=50K, Male,0
15079,30.0,10, <=50K, Male,0
24443,40.0,>12, <=50K, Male,0
20938,20.0,10, <=50K, Female,0
5201,>=70,>12, >50K, Male,1
1472,20.0,>12, <=50K, Female,0
1583,30.0,9, >50K, Male,1
17450,10.0,9, <=50K, Male,0
26950,30.0,>12, >50K, Female,1
3291,>=70,<6, <=50K, Male,0
16899,20.0,9, <=50K, Female,0
27478,60.0,9, <=50K, Male,0
10475,10.0,10, <=50K, Male,0
18484,30.0,10, <=50K, Male,0
11752,50.0,10, >50K, Male,1
4929,40.0,9, <=50K, Male,0
2063,40.0,>12, >50K, Male,1
14312,30.0,10, <=50K, Male,0
419,30.0,9, <=50K, Female,0
19939,20.0,11, <=50K, Male,0
14988,30.0,9, <=50K, Female,0
12864,10.0,10, <=50K, Female,0
