id,race,age_cat,c_charge_degree,priors_count,is_recid
2658,Caucasian,25 to 45,F,1 to 3,0
4783,Caucasian,25 to 45,F,1 to 3,1
459,African-American,25 to 45,F,More than 3,0
7648,African-American,Less than 25,M,0,0
1056,Caucasian,Greater than 45,F,1 to 3,1
565,Caucasian,25 to 45,F,0,1
7806,Caucasian,Less than 25,M,1 to 3,1
6368,African-American,25 to 45,F,More than 3,1
8617,African-American,25 to 45,F,1 to 3,0
3041,Caucasian,25 to 45,M,0,1
3338,African-American,Less than 25,M,0,0
3663,African-American,25 to 45,F,More than 3,1
4000,African-American,25 to 45,M,More than 3,1
7563,Caucasian,25 to 45,M,1 to 3,0
5116,African-American,25 to 45,F,More than 3,1
463,Caucasian,25 to 45,M,0,1
7499,Caucasian,25 to 45,M,1 to 3,1
1003,African-American,25 to 45,M,1 to 3,1
4580,African-American,25 to 45,F,More than 3,1
681,Caucasian,Less than 25,M,0,0
6525,Caucasian,Greater than 45,F,1 to 3,1
5278,Caucasian,Less than 25,F,0,1
9890,African-American,25 to 45,M,1 to 3,0
9516,African-American,25 to 45,F,1 to 3,1
7242,African-American,Less than 25,M,0,0
3,African-American,25 to 45,F,0,0
2131,African-American,25 to 45,F,0,0
2493,Caucasian,25 to 45,F,More than 3,1
6071,African-American,25 to 45,F,More than 3,0
5020,African-American,25 to 45,F,0,0
3284,Caucasian,25 to 45,F,More than 3,1
7928,Caucasian,25 to 45,F,0,0
1268,African-American,25 to 45,F,1 to 3,0
7386,African-American,Less than 25,F,1 to 3,1
2427,African-American,25 to 45,F,More than 3,0
4144,African-American,Less than 25,F,0,0
1791,African-American,25 to 45,F,More than 3,1
384,African-American,25 to 45,M,1 to 3,0
6937,Caucasian,25 to 45,F,0,0
4159,Caucasian,25 to 45,F,1 to 3,1
2621,Caucasian,25 to 45,F,0,1
6858,Caucasian,Greater than 45,M,1 to 3,0
8026,African-American,25 to 45,F,1 to 3,1
7034,Caucasian,25 to 45,F,0,1
8871,African-American,Less than 25,F,0,1
502,African-American,Less than 25,F,0,0
3247,Caucasian,25 to 45,F,1 to 3,0
8212,Caucasian,25 to 45,F,0,0
2390,African-American,25 to 45,F,More than 3,1
6164,African-American,25 to 45,F,1 to 3,0
3085,African-American,Less than 25,F,0,0
6287,Caucasian,25 to 45,M,0,0
1061,African-American,Greater than 45,F,0,0
5060,African-American,Less than 25,F,1 to 3,1
9425,Caucasian,Greater than 45,F,0,0
7114,African-American,Less than 25,F,0,1
3963,Caucasian,Greater than 45,F,1 to 3,0
10652,African-American,25 to 45,M,1 to 3,1
7908,African-American,Less than 25,F,More than 3,1
4384,African-American,Less than 25,F,1 to 3,0
2169,Caucasian,25 to 45,F,1 to 3,0
9092,Caucasian,Greater than 45,F,1 to 3,1
4732,African-American,Less than 25,F,0,1
3298,Caucasian,25 to 45,M,More than 3,0
4707,African-American,Less than 25,M,0,1
4069,Caucasian,25 to 45,F,0,1
7571,African-American,25 to 45,F,0,0
4353,Caucasian,25 to 45,M,More than 3,1
1410,African-American,25 to 45,F,1 to 3,0
6013,Caucasian,25 to 45,F,1 to 3,0
5219,Caucasian,Greater than 45,F,More than 3,1
9656,African-American,25 to 45,F,More than 3,0
2623,African-American,25 to 45,F,More than 3,0
8799,African-American,Less than 25,M,1 to 3,1
1439,Caucasian,Less than 25,F,0,0
727,Caucasian,Greater than 45,F,0,0
8184,Caucasian,25 to 45,F,More than 3,1
9944,Caucasian,25 to 45,F,0,1
9120,African-American,Less than 25,F,1 to 3,0
5827,African-American,Less than 25,M,1 to 3,0
4101,African-American,25 to 45,M,More than 3,1
3512,African-American,25 to 45,F,1 to 3,1
9323,Caucasian,25 to 45,M,More than 3,1
10907,Caucasian,25 to 45,F,1 to 3,0
41,Caucasian,25 to 45,F,More than 3,1
7040,Caucasian,Less than 25,F,0,0
244,Caucasian,25 to 45,F,1 to 3,1
608,Caucasian,25 to 45,F,0,0
223,African-American,25 to 45,F,1 to 3,1
9415,Caucasian,Greater than 45,F,More than 3,1
7092,Caucasian,25 to 45,F,1 to 3,0
8908,African-American,25 to 45,M,More than 3,0
6950,Caucasian,Greater than 45,F,1 to 3,0
10045,African-American,Less than 25,M,0,0
7204,Caucasian,25 to 45,M,1 to 3,0
5207,Caucasian,25 to 45,F,1 to 3,1
9875,African-American,25 to 45,F,1 to 3,0
4062,Caucasian,25 to 45,F,0,1
3192,Caucasian,25 to 45,M,0,0
6778,African-American,Less than 25,M,1 to 3,0
5123,African-American,25 to 45,F,1 to 3,1
6473,African-American,25 to 45,F,More than 3,0
5886,Caucasian,Greater than 45,M,0,0
1806,Caucasian,25 to 45,F,1 to 3,1
1485,African-American,Less than 25,M,1 to 3,1
6771,African-American,25 to 45,F,More than 3,0
6589,African-American,25 to 45,F,1 to 3,1
5923,Caucasian,25 to 45,F,1 to 3,0
995,African-American,25 to 45,F,0,0
6659,African-American,Less than 25,F,0,0
532,Caucasian,Less than 25,F,0,0
10054,African-American,Greater than 45,F,1 to 3,0
1246,African-American,25 to 45,M,1 to 3,1
28,Caucasian,Less than 25,F,0,0
859,African-American,Less than 25,F,1 to 3,0
9243,Caucasian,25 to 45,F,1 to 3,0
2134,African-American,Less than 25,M,1 to 3,0
1195,African-American,25 to 45,F,1 to 3,0
8942,Caucasian,Less than 25,M,1 to 3,1
5418,African-American,25 to 45,F,0,0
8865,Caucasian,Greater than 45,F,0,0
7120,Caucasian,Greater than 45,F,1 to 3,1
3066,African-American,25 to 45,F,1 to 3,0
8838,Caucasian,25 to 45,M,0,0
9643,Caucasian,25 to 45,F,0,0
2854,African-American,25 to 45,F,More than 3,1
2773,African-American,25 to 45,M,More than 3,1
5142,African-American,Greater than 45,F,More than 3,0
7511,African-American,Less than 25,F,0,1
4170,Caucasian,25 to 45,F,More than 3,1
3801,Caucasian,Greater than 45,M,0,0
5496,African-American,Less than 25,F,1 to 3,0
10969,African-American,Less than 25,M,1 to 3,1
5154,African-American,25 to 45,M,More than 3,1
7759,African-American,Less than 25,F,0,1
10025,African-American,Less than 25,F,0,1
6319,African-American,Less than 25,M,1 to 3,0
9670,Caucasian,Less than 25,F,0,0
9960,African-American,25 to 45,M,0,0
3051,African-American,Greater than 45,M,0,0
4978,African-American,25 to 45,F,1 to 3,0
9284,Caucasian,25 to 45,F,0,0
4763,Caucasian,Less than 25,F,1 to 3,0
9835,African-American,Greater than 45,F,1 to 3,0
7987,Caucasian,25 to 45,F,More than 3,1
344,African-American,25 to 45,M,0,0
2664,African-American,25 to 45,F,0,0
10831,Caucasian,25 to 45,M,0,1
1629,African-American,25 to 45,F,1 to 3,0
5793,African-American,25 to 45,F,1 to 3,1
5184,African-American,25 to 45,F,0,0
6373,African-American,25 to 45,M,More than 3,1
2394,Caucasian,25 to 45,F,1 to 3,1
6662,African-American,Less than 25,F,0,0
5475,African-American,25 to 45,M,0,0
7741,African-American,Less than 25,F,0,1
4421,African-American,Greater than 45,F,More than 3,1
10259,Caucasian,Greater than 45,M,0,0
2061,African-American,25 to 45,F,1 to 3,1
4226,Caucasian,25 to 45,F,0,1
6810,African-American,Less than 25,F,1 to 3,0
3347,African-American,25 to 45,F,1 to 3,1
2874,African-American,25 to 45,M,1 to 3,1
4582,African-American,Greater than 45,M,More than 3,0
7026,African-American,25 to 45,F,More than 3,0
2498,Caucasian,Greater than 45,M,1 to 3,0
7354,Caucasian,Greater than 45,M,More than 3,0
5162,Caucasian,25 to 45,F,0,0
7780,African-American,25 to 45,M,1 to 3,1
462,African-American,25 to 45,M,0,0
10388,African-American,25 to 45,M,1 to 3,1
7275,Caucasian,25 to 45,M,0,0
4949,Caucasian,Greater than 45,F,More than 3,0
1484,Caucasian,25 to 45,F,More than 3,1
1534,African-American,25 to 45,F,1 to 3,0
10042,African-American,25 to 45,F,More than 3,0
5321,Caucasian,Less than 25,M,1 to 3,1
10728,African-American,25 to 45,F,1 to 3,1
6908,African-American,25 to 45,F,More than 3,0
576,African-American,25 to 45,F,More than 3,1
2809,African-American,Less than 25,F,0,0
4418,Caucasian,Greater than 45,F,1 to 3,0
3969,African-American,Less than 25,F,1 to 3,1
6203,African-American,25 to 45,M,1 to 3,1
3316,Caucasian,25 to 45,M,More than 3,1
10936,African-American,Less than 25,F,0,1
5402,African-American,Less than 25,F,1 to 3,1
1995,Caucasian,Greater than 45,M,More than 3,1
2772,African-American,Less than 25,M,1 to 3,1
24,Caucasian,25 to 45,F,More than 3,1
803,African-American,Greater than 45,M,More than 3,0
2711,Caucasian,25 to 45,F,0,1
4615,African-American,Less than 25,M,1 to 3,0
10966,Caucasian,25 to 45,M,0,0
1448,Caucasian,Less than 25,M,0,0
2922,African-American,Greater than 45,M,More than 3,0
6613,African-American,25 to 45,F,1 to 3,1
5313,Caucasian,25 to 45,M,0,1
924,Caucasian,Greater than 45,M,0,0
1569,African-American,25 to 45,M,More than 3,1
3848,African-American,25 to 45,F,More than 3,1
2051,Caucasian,25 to 45,F,0,1
1315,African-American,Less than 25,F,0,0
6904,African-American,Less than 25,F,1 to 3,0
8703,Caucasian,Greater than 45,F,0,0
7650,Caucasian,25 to 45,F,1 to 3,1
10283,African-American,25 to 45,F,More than 3,1
5825,African-American,Less than 25,F,More than 3,1
7080,Caucasian,Greater than 45,M,0,0
2090,African-American,Less than 25,M,0,0
7387,Caucasian,25 to 45,F,More than 3,0
1667,Caucasian,25 to 45,M,0,1
10163,African-American,25 to 45,M,1 to 3,0
10957,African-American,Greater than 45,M,More than 3,1
8644,African-American,25 to 45,M,0,0
6044,African-American,Less than 25,F,1 to 3,1
10992,Caucasian,Less than 25,M,0,1
7997,African-American,Greater than 45,F,More than 3,1
4674,African-American,Less than 25,M,0,0
2548,African-American,25 to 45,F,1 to 3,0
10757,African-American,Less than 25,M,0,1
4817,African-American,25 to 45,M,1 to 3,1
382,Caucasian,Less than 25,F,More than 3,1
10839,African-American,25 to 45,M,More than 3,1
2079,African-American,25 to 45,M,1 to 3,0
4897,Caucasian,25 to 45,F,More than 3,1
3175,Caucasian,Greater than 45,M,1 to 3,1
7254,Caucasian,Less than 25,F,0,1
1385,African-American,25 to 45,M,More than 3,1
6256,African-American,25 to 45,M,More than 3,1
8094,Caucasian,Greater than 45,M,0,0
3403,African-American,25 to 45,F,1 to 3,1
3288,African-American,25 to 45,F,More than 3,1
2274,Caucasian,Greater than 45,M,1 to 3,1
5339,Caucasian,Greater than 45,F,More than 3,1
6864,African-American,25 to 45,M,More than 3,1
9674,Caucasian,Less than 25,M,More than 3,1
2077,African-American,25 to 45,M,1 to 3,0
959,African-American,Less than 25,F,More than 3,1
5660,Caucasian,25 to 45,F,0,0
5183,African-American,Less than 25,M,1 to 3,0
8373,Caucasian,Greater than 45,M,1 to 3,0
3301,African-American,25 to 45,M,0,0
812,African-American,25 to 45,F,0,0
478,African-American,25 to 45,F,More than 3,0
3950,Caucasian,25 to 45,F,0,1
232,Caucasian,25 to 45,M,0,0
4256,African-American,25 to 45,F,0,1
9420,African-American,25 to 45,F,1 to 3,0
5931,Caucasian,25 to 45,F,1 to 3,1
6001,African-American,25 to 45,F,More than 3,1
10126,Caucasian,25 to 45,M,0,1
3230,African-American,Greater than 45,F,More than 3,0
951,African-American,25 to 45,M,1 to 3,0
6147,African-American,Less than 25,F,0,1
5367,African-American,25 to 45,F,1 to 3,0
8022,African-American,Less than 25,F,1 to 3,1
9381,Caucasian,25 to 45,M,1 to 3,0
10786,Caucasian,Greater than 45,M,1 to 3,0
3835,Caucasian,Greater than 45,M,0,0
2356,Caucasian,Greater than 45,F,More than 3,1
8970,Caucasian,Greater than 45,M,0,1
3412,Caucasian,25 to 45,M,0,0
5365,Caucasian,Greater than 45,F,0,0
1256,African-American,Greater than 45,F,More than 3,0
1499,African-American,25 to 45,F,More than 3,1
4439,Caucasian,Less than 25,M,1 to 3,0
5176,African-American,25 to 45,M,1 to 3,0
337,African-American,Greater than 45,F,More than 3,0
9902,African-American,25 to 45,M,0,1
1615,Caucasian,25 to 45,F,0,0
9540,African-American,25 to 45,F,1 to 3,1
716,African-American,25 to 45,M,1 to 3,0
10860,African-American,25 to 45,M,More than 3,0
6527,African-American,Less than 25,M,0,0
10484,Caucasian,25 to 45,M,1 to 3,0
6946,African-American,Less than 25,F,1 to 3,1
5654,African-American,Less than 25,F,0,0
347,Caucasian,25 to 45,F,More than 3,1
2619,African-American,25 to 45,F,1 to 3,0
9348,Caucasian,Less than 25,F,1 to 3,0
9981,African-American,Less than 25,F,1 to 3,1
400,African-American,Less than 25,F,0,1
6592,Caucasian,Greater than 45,M,0,0
567,Caucasian,Greater than 45,M,1 to 3,0
3933,African-American,25 to 45,F,More than 3,1
2569,Caucasian,25 to 45,M,0,0
10158,African-American,Less than 25,F,0,1
7647,African-American,Greater than 45,F,1 to 3,0
1395,African-American,Less than 25,F,1 to 3,1
2002,Caucasian,Greater than 45,M,More than 3,0
2096,Caucasian,Greater than 45,F,More than 3,1
183,Caucasian,25 to 45,F,More than 3,1
8380,Caucasian,25 to 45,F,1 to 3,1
8375,African-American,Greater than 45,F,More than 3,1
8290,African-American,Less than 25,F,More than 3,1
9174,Caucasian,Less than 25,F,0,1
6304,African-American,25 to 45,F,More than 3,1
3387,African-American,Greater than 45,M,1 to 3,1
9494,Caucasian,25 to 45,F,0,0
429,African-American,Less than 25,M,0,1
5821,Caucasian,25 to 45,M,1 to 3,0
3093,Caucasian,Less than 25,F,1 to 3,0
9013,Caucasian,Greater than 45,F,1 to 3,0
6471,Caucasian,Greater than 45,F,More than 3,1
2161,Caucasian,25 to 45,M,0,0
6389,Caucasian,25 to 45,F,More than 3,1
8754,Caucasian,25 to 45,F,1 to 3,0
326,Caucasian,25 to 45,M,0,1
1328,African-American,25 to 45,M,1 to 3,0
3737,Caucasian,25 to 45,F,0,0
4316,African-American,Greater than 45,F,More than 3,1
3390,Caucasian,Greater than 45,M,0,0
9786,African-American,25 to 45,F,More than 3,0
1344,African-American,Greater than 45,F,1 to 3,0
8204,African-American,Greater than 45,F,More than 3,0
3501,African-American,25 to 45,F,More than 3,1
8438,Caucasian,25 to 45,F,More than 3,1
9658,African-American,25 to 45,F,More than 3,0
8068,Caucasian,25 to 45,F,More than 3,0
6192,Caucasian,Greater than 45,F,More than 3,0
4288,Caucasian,Greater than 45,F,1 to 3,0
8130,African-American,Greater than 45,F,1 to 3,0
6297,Caucasian,25 to 45,F,More than 3,0
5969,Caucasian,25 to 45,M,0,1
9277,African-American,25 to 45,M,0,0
5364,Caucasian,25 to 45,M,0,0
2335,African-American,25 to 45,F,More than 3,1
4135,African-American,25 to 45,F,More than 3,1
2431,Caucasian,Less than 25,F,0,0
6584,Caucasian,25 to 45,F,1 to 3,0
7693,African-American,Less than 25,F,1 to 3,1
3029,African-American,25 to 45,F,0,1
8622,African-American,25 to 45,F,1 to 3,0
59,Caucasian,25 to 45,M,1 to 3,1
3329,Caucasian,25 to 45,M,0,1
7469,African-American,25 to 45,F,More than 3,0
7468,Caucasian,25 to 45,F,1 to 3,1
8535,African-American,Greater than 45,F,0,1
4073,Caucasian,25 to 45,M,0,0
2837,African-American,Greater than 45,M,1 to 3,0
6594,African-American,Less than 25,M,0,0
9407,African-American,25 to 45,F,More than 3,0
2983,Caucasian,25 to 45,F,0,0
2685,African-American,Less than 25,F,0,0
10456,African-American,25 to 45,F,More than 3,0
6722,Caucasian,25 to 45,M,1 to 3,0
7167,African-American,25 to 45,M,1 to 3,0
5261,Caucasian,25 to 45,M,0,1
4893,African-American,25 to 45,F,0,0
6056,Caucasian,25 to 45,F,More than 3,1
6830,Caucasian,Less than 25,F,1 to 3,1
1930,Caucasian,Greater than 45,M,1 to 3,0
7897,Caucasian,Less than 25,M,0,1
8205,Caucasian,Less than 25,F,0,1
2516,African-American,Less than 25,F,1 to 3,0
189,Caucasian,Greater than 45,M,1 to 3,0
9144,African-American,25 to 45,F,0,0
10963,Caucasian,25 to 45,F,More than 3,0
2310,African-American,25 to 45,F,1 to 3,0
8504,Caucasian,25 to 45,F,More than 3,1
726,Caucasian,25 to 45,F,More than 3,1
2121,African-American,25 to 45,F,More than 3,0
1637,African-American,25 to 45,F,1 to 3,0
3145,African-American,25 to 45,F,More than 3,0
7043,African-American,Less than 25,F,0,0
6326,Caucasian,Less than 25,M,1 to 3,1
3891,African-American,Less than 25,F,0,1
10334,African-American,Less than 25,M,0,1
10072,Caucasian,25 to 45,F,More than 3,1
8197,Caucasian,Greater than 45,F,1 to 3,1
2342,African-American,25 to 45,F,More than 3,0
4568,Caucasian,Less than 25,F,0,1
6893,African-American,25 to 45,F,0,0
6916,African-American,Less than 25,F,1 to 3,0
2819,African-American,Less than 25,F,0,1
8638,African-American,25 to 45,F,More than 3,1
6359,African-American,Greater than 45,F,1 to 3,1
8742,Caucasian,25 to 45,M,0,1
4776,African-American,25 to 45,F,1 to 3,1
3605,African-American,25 to 45,F,0,0
2530,African-American,Less than 25,F,0,1
9857,African-American,Less than 25,F,More than 3,1
2332,Caucasian,Greater than 45,F,0,0
1006,African-American,25 to 45,M,0,0
9653,Caucasian,Less than 25,F,1 to 3,0
9106,Caucasian,25 to 45,F,0,1
53,Caucasian,Less than 25,M,1 to 3,1
2376,African-American,25 to 45,F,More than 3,1
1088,Caucasian,Greater than 45,F,0,0
8449,Caucasian,25 to 45,M,1 to 3,1
5590,Caucasian,25 to 45,M,1 to 3,0
1261,African-American,25 to 45,M,More than 3,0
9220,Caucasian,25 to 45,M,0,0
5604,African-American,25 to 45,F,More than 3,0
7902,Caucasian,Greater than 45,M,0,0
9364,African-American,Greater than 45,M,More than 3,0
6611,African-American,Greater than 45,F,0,0
1212,African-American,Less than 25,M,1 to 3,0
10882,Caucasian,Less than 25,F,1 to 3,0
1608,Caucasian,Greater than 45,M,More than 3,1
3455,African-American,25 to 45,F,1 to 3,0
9322,African-American,Less than 25,F,1 to 3,1
2098,Caucasian,Greater than 45,M,0,0
39,African-American,25 to 45,F,More than 3,1
9880,Caucasian,Greater than 45,M,0,0
2880,Caucasian,Greater than 45,F,More than 3,0
7786,African-American,25 to 45,F,1 to 3,0
1505,African-American,Less than 25,F,0,1
8262,Caucasian,Greater than 45,M,0,1
8598,African-American,Less than 25,F,More than 3,1
6775,African-American,25 to 45,F,More than 3,0
4,African-American,Less than 25,F,More than 3,1
3268,Caucasian,25 to 45,M,More than 3,1
308,African-American,25 to 45,M,0,0
3571,Caucasian,25 to 45,M,1 to 3,1
1999,African-American,Less than 25,M,0,0
8716,African-American,25 to 45,M,0,0
3776,Caucasian,25 to 45,M,0,0
5255,African-American,25 to 45,F,1 to 3,0
10509,African-American,25 to 45,F,1 to 3,0
9022,African-American,25 to 45,F,1 to 3,1
3090,African-American,25 to 45,F,1 to 3,0
8231,African-American,25 to 45,F,More than 3,0
3966,African-American,Greater than 45,F,More than 3,1
8008,African-American,25 to 45,M,1 to 3,0
5334,African-American,25 to 45,F,More than 3,0
300,Caucasian,25 to 45,M,0,0
7425,African-American,Less than 25,F,0,0
870,African-American,25 to 45,F,More than 3,1
2688,African-American,25 to 45,F,1 to 3,1
10033,African-American,25 to 45,F,More than 3,1
10646,African-American,25 to 45,F,More than 3,1
10787,African-American,Greater than 45,M,More than 3,1
1776,African-American,Less than 25,F,0,1
8216,African-American,25 to 45,M,1 to 3,0
7479,Caucasian,Less than 25,F,0,0
1447,Caucasian,25 to 45,F,More than 3,0
1286,Caucasian,Less than 25,F,1 to 3,1
2777,African-American,Greater than 45,M,0,0
505,African-American,25 to 45,F,0,0
4415,African-American,Greater than 45,M,1 to 3,0
9028,African-American,25 to 45,M,1 to 3,0
7770,African-American,25 to 45,F,More than 3,0
3758,African-American,Greater than 45,M,1 to 3,0
10554,African-American,Less than 25,F,0,1
7023,Caucasian,25 to 45,F,1 to 3,0
2954,Caucasian,Less than 25,F,0,0
793,African-American,25 to 45,F,1 to 3,1
3862,Caucasian,25 to 45,M,0,0
9822,Caucasian,25 to 45,M,More than 3,1
975,African-American,Less than 25,F,0,0
1620,Caucasian,Greater than 45,F,0,0
3576,Caucasian,Greater than 45,F,More than 3,0
3603,African-American,25 to 45,F,More than 3,1
6285,Caucasian,25 to 45,M,0,1
10400,Caucasian,Less than 25,M,1 to 3,0
6240,African-American,Greater than 45,F,0,0
7400,African-American,25 to 45,M,1 to 3,0
1599,Caucasian,25 to 45,M,0,0
9242,Caucasian,25 to 45,F,0,0
2515,African-American,25 to 45,F,More than 3,0
7247,African-American,Less than 25,F,1 to 3,0
4953,African-American,25 to 45,F,More than 3,1
7977,African-American,Less than 25,M,0,0
9297,African-American,Greater than 45,M,1 to 3,0
4260,African-American,25 to 45,F,More than 3,0
1240,African-American,25 to 45,F,More than 3,0
3341,African-American,Less than 25,F,1 to 3,0
638,African-American,25 to 45,F,More than 3,0
3511,Caucasian,Less than 25,F,0,0
1829,Caucasian,25 to 45,F,0,0
2620,African-American,25 to 45,M,More than 3,1
2069,African-American,Less than 25,F,0,0
5247,African-American,Less than 25,F,1 to 3,1
2444,African-American,Greater than 45,M,1 to 3,0
10269,Caucasian,25 to 45,F,0,0
2385,African-American,Less than 25,F,1 to 3,1
2035,African-American,25 to 45,F,0,1
3084,African-American,Greater than 45,M,More than 3,0
628,Caucasian,25 to 45,M,0,1
6140,African-American,Greater than 45,M,0,0
3318,Caucasian,Greater than 45,F,More than 3,0
5673,African-American,25 to 45,F,More than 3,1
5327,Caucasian,25 to 45,F,1 to 3,1
3240,African-American,25 to 45,F,More than 3,0
7721,African-American,Less than 25,M,0,1
3562,African-American,Greater than 45,F,0,0
6687,Caucasian,25 to 45,F,More than 3,1
176,African-American,25 to 45,F,1 to 3,1
6177,African-American,Less than 25,F,More than 3,0
1198,Caucasian,25 to 45,M,1 to 3,0
278,African-American,Less than 25,M,0,0
5989,Caucasian,25 to 45,M,0,0
3345,Caucasian,25 to 45,F,1 to 3,0
7611,Caucasian,Greater than 45,F,More than 3,1
3319,Caucasian,25 to 45,F,0,0
9386,African-American,25 to 45,F,1 to 3,1
8226,Caucasian,25 to 45,F,1 to 3,1
3780,Caucasian,Less than 25,M,1 to 3,0
648,African-American,Greater than 45,F,1 to 3,1
3225,African-American,Less than 25,F,0,1
3406,Caucasian,25 to 45,M,0,1
2429,Caucasian,25 to 45,F,1 to 3,0
8421,African-American,Less than 25,M,0,0
518,African-American,Greater than 45,F,1 to 3,0
1508,African-American,Less than 25,M,0,0
291,Caucasian,Greater than 45,F,1 to 3,0
6443,Caucasian,25 to 45,F,More than 3,0
4445,African-American,Less than 25,F,1 to 3,0
4064,Caucasian,25 to 45,F,1 to 3,0
6231,African-American,Greater than 45,F,1 to 3,0
4789,African-American,25 to 45,F,More than 3,1
6766,African-American,25 to 45,F,More than 3,1
6919,African-American,25 to 45,F,0,0
2857,African-American,25 to 45,F,1 to 3,0
7176,Caucasian,25 to 45,F,1 to 3,0
1515,African-American,Greater than 45,M,More than 3,0
4179,African-American,Less than 25,F,0,1
4710,Caucasian,25 to 45,F,More than 3,1
4342,African-American,Less than 25,F,1 to 3,1
7312,Caucasian,25 to 45,F,More than 3,1
789,African-American,25 to 45,M,1 to 3,0
5863,African-American,Greater than 45,F,More than 3,1
4290,African-American,25 to 45,M,1 to 3,0
2123,Caucasian,25 to 45,M,1 to 3,1
10677,African-American,25 to 45,F,1 to 3,1
3554,Caucasian,Greater than 45,F,1 to 3,0
7435,African-American,25 to 45,F,0,0
80,African-American,Less than 25,F,1 to 3,1
9046,Caucasian,25 to 45,M,1 to 3,0
5732,Caucasian,25 to 45,M,0,1
6915,African-American,25 to 45,F,More than 3,1
1005,African-American,Greater than 45,M,1 to 3,0
9532,African-American,Less than 25,F,1 to 3,1
8501,African-American,25 to 45,F,More than 3,1
9563,Caucasian,Less than 25,F,1 to 3,0
785,African-American,25 to 45,M,0,0
4419,Caucasian,Less than 25,F,0,1
1718,African-American,25 to 45,F,More than 3,1
4641,Caucasian,25 to 45,M,1 to 3,0
4013,Caucasian,25 to 45,M,More than 3,1
6520,African-American,25 to 45,F,1 to 3,0
4204,African-American,25 to 45,F,More than 3,0
8639,African-American,Less than 25,F,1 to 3,1
6934,African-American,25 to 45,F,0,0
9799,Caucasian,25 to 45,F,0,1
6080,African-American,25 to 45,M,1 to 3,1
7775,African-American,25 to 45,F,1 to 3,0
5762,Caucasian,25 to 45,M,0,1
2526,Caucasian,Greater than 45,M,0,0
6693,Caucasian,25 to 45,M,0,0
3229,Caucasian,25 to 45,F,1 to 3,0
4686,African-American,Greater than 45,M,0,0
10035,African-American,Greater than 45,F,0,0
844,African-American,Greater than 45,F,More than 3,0
3003,African-American,25 to 45,F,1 to 3,0
7279,African-American,25 to 45,M,1 to 3,1
10111,African-American,Less than 25,F,0,0
3542,Caucasian,Less than 25,F,0,1
573,African-American,25 to 45,M,1 to 3,0
572,African-American,25 to 45,F,1 to 3,0
7722,African-American,Less than 25,F,1 to 3,1
9629,African-American,Less than 25,F,More than 3,0
4276,African-American,Less than 25,F,0,1
3538,African-American,Less than 25,F,1 to 3,0
9785,Caucasian,Greater than 45,M,0,0
7156,African-American,25 to 45,F,More than 3,0
